A1PJKGNMUEGEWO|the sharmancaselli tarot is one of my favorite decks  a superb creation of juliet sharmanburke and giovanni caselli it combines the best features of the popular riderwaitesmith rws tarot with elements of classic decks such as the viscontisforza tarot and marseilles tarot  however how does the mini version included in the tarot box fare  not as well as i would have wished yet if you loved the sharmancaselli tarot you may still consider to give this kit a tryas i hinted the transition of the sharmancaselli tarot to the mini format  x  inches was not the best it could have been  for example there is a very small blurring effect in the arts line work  but the most glaring mistake is on the cutting of the cards as it seems that the face and back of some are off centered in my deckif you are not familiar with the sharmancaselli tarot this deck is based on the rws tarot with inspiration from older decks such as the tarot of marseilles and the viscontisforza  like the rws tarot the imagery throughout the sharmancaselli tarot depicts the renaissance era but done with seemingly realistic art filled with soft colorsthe major arcana is mostly inspired on the rws tarot with a few exceptions  the wheel of fortune shows a wheel with four people at the top bottom and sides and a blindfolded women in its center definitely drawing inspiration from the viscontisforza tarot while the lovers shows a finely dressed man deciding between two women with cupid floating over his head an imagery more akin to the marseilles tarot  the minor arcana are fully illustrated and inspired on the rws tarotin a nod to the viscontisforza tarot the major arcana are unnumbered  if you pay attention to the order of the major arcana you will find the following  the fool the magician the empress the emperor the high priestess the hierophant the lovers the chariot justice temperance strength the hermit the wheel of fortune the hanged man death the devil the tower the star the moon the sun judgement and the world  this is the order to study the tarot recommended by sharmanburke  this was included inthe new complete book of tarot but missing from the mini tarot book included in this kitthe book in this kit is titled tarot learn how to read the cards  this is a small  x  inches pocket book but at a count of  pages i doubt anyone would carry it in hisher pocket  the book is divided as followswhat is tarotgetting to know your deckthe major arcanathe minor arcanahow to read the cardsyour first readingstaking it furtherin all this book is a larger version of a little white book  you get a brief history of tarot and then some  to my surprise there is even a description on how to play trumps with the cards  i never considered using a tarot deck for playing games before but at the smaller size the cards are very well suited for playingthree pages are spent for each card one page for the image and key issues another for symbolism and the last one for in a reading use  the final sections include layouts such as the pyramid  cards the horseshoe  cards and the celtic cross  cardsthe silliest part of this kit is the  puzzle pieces layout board  it includes the pyramid in one side and the horseshoe  honestly with a few bucks i think you could do better with a fold out plastic coated photocopy of well decorated layout of your own preferencethis is not a bad kit to start with  however if your budget is tight or you are just testing the tarot waters you may also considertarot to go  if you are a tarot collector or reader you may want to spend just a bit more and buythe sharmancaselli tarot deckinstead but beware that the card stock on this deck is of a slightly inferior quality than decks from us games inc llewellyn or even loscarabeo|spam
AJGU56YG8G1DQ|we had a dinner party and decided to get this for the table  it was a huge hit  our friends loved it  some of the questions worked better than others but thats to be expected  there are enough in the box that guarantee there will be something in there for anyone and any setting  great for getting to know people better and a great help if conversations die down and need a boost|spam
AJGU56YG8G1DQ|i tried this at a friends house and it was awesome  the premise is simple keep exchanging cards until you have a run of   just because it sounds simple doesnt mean it is this game requires strategy and is surprisingly difficult at times  lots of fun for kids or adults|spam
AJGU56YG8G1DQ|this is an awesome game  the humor is very fun and a bit twisted  i love the chain mail bikini  its great for playing in a diverse group of people  fantastic for a great night of fun with friends|spam
AJGU56YG8G1DQ|if youve never played munchkin before then you are missing one amazing game  its tons of fun  like a role playing card game packed with weirdness and humor  its great for parties or if youve been waiting for a good game for your weekly game night with friends  great for those of us with slightly dark and wacky senses of humor  this is fantastic if you love the original  tons of great steeds and minions  the mutant gerbil is my favorite|spam
A1POFVVXUZR3IQ|i purchased these flash cards for my first grader to add some variety in her math enrichment at home she gets tired of the same drilltype exercises found in many supplementary enrichment workbooks though i do still use them sparingly these flash cards are divided into  categories ie addition  subtraction  multiplication  division  fractions and time  moneythe answer for each question is placed on the back of the card top lefthand corner the only thing about this i did not like is that since the cards are printed on both sides with problems there are answers on both sides of the cards for each problem on the reverse this can be a tad distracting so i placed little postits which i had cut out over the answerseach stack of cards for the individual categories comes with further suggestions for learning and thinking for example the addition stack has some excellent suggestions such as an addition war highest sum wins the play at hand which sum is it lay five to ten cards give a child the answers to one of the problems then ask the child to choose the problem that matches the sum story math very creative requiring a child to choose a card and make up a story problem and quick mathif youre looking for something mathbased for young children that can be fun and educational these flash cards just might fit the bill|spam
A1PJKGNMUEGEWO|the star wars xwing is a greate miniature game from fantasy flight game this game integrate excellent star wars miniatures with a great flight path system to deliver an xwing experience previously only available within the confines of a computer gamethe starter set includes three miniatures star fighters from star wars two tie fighters and an xwing these miniatures had been made as scale with each other  their sculpt is superb althought the xwing may suffer from misaligned laser cannons  the paint is of good quality with a dirty wash that enhances the lines of the modeleach model includes a stand and a base for the miniature double sided ship tokens for the base and a maneuver dialbeside these miniatures the starter pack include some good cards rebel shipspilots luke skywalker biggs darklighter a red squadron pilot and a rookie pilot empire shipspilots mauler mithel dark curse night beast x black squadron pilots x obsidian squadron pilot and x academy pilot upgrade cards  torpedo card proton torpedoes  astromech cards rd and rf  talent cards determination and marksmanshipin addition the starter set includes damage cards tokens for evade focus target shields stress asteroid tokens maneuver templates  green and  red sided dice and a rule bookplaying a quick game is easy and fun  i started with the quick game and in subsequent games added some advanced rules like range modifiers and upgrades like rd for luke and marksmanship for mauler  with advanced rules and upgrade cards the game time changes from a quick half hour game to  hours  and i havent added the effect of criticals yeteverything you need to play a quick and easy game is in the starter kit but there are expansion packs available that add more ships and card to the game for  or  each  the casual player wont need these but if you are a star wars fan or hard core gamer you may want to buy a fewoverall this is a quicktoplay miniature game that does a great job simulating the starfighters battles in the star wars universe|spam
A1PJKGNMUEGEWO|the tie fighter is an expansion for the xwing miniature game which happens to include a good model i got two ships with the starter set but i wanted another one for a classic trio of them  however i was expecting new pilots but i only got three new ones out of six and just two upgradesthe sculpt and paint of this miniature is as good as the previous one this miniature is about  long x  wide x  tall not knowing better i believe fantasy flight games has this ship at scale with other miniatures in the xwing miniature game such as the xwing and tie fightersin addition to the tie phantom this expansion includes a stand and a base for the miniature two ship tokens for the base one maneuver dial a rulesheet and plenty of other tokens as those included for the xwing miniature gamei had no expectations but the cards included in the expansion make this ship even more interesting this expansion includes shipspilots howlrunner  pts backstabber  pts winged gundark  pts black squadron pilot  pts obsidian squadron pilot  pts and academy pilot   pts talent upgrades swarm tactics and determinationoverall this is good model for star wars collectors  i recommend this expansion only if you need one extra tie fighter but beware that you are getting just three new pilots|ham
A1PJKGNMUEGEWO|the ywing expansion pack is an expansion for the xwing miniature game which happens to include a great model the sculpt and paint of this miniature are really good this is one that i wanted to buy just to collect and thanks to amazon i was finally able to do itthis miniature is about  long x  wide of course it is at scale with other miniatures in the xwing miniature game such as the xwing and tie fightersin addition to the ywing this expansion includes a stand and a base for the miniature two ship tokens for the base one maneuver dial and a rulesheet and plenty of other tokens as those included for the xwing miniature gamehowever the cards included in the expansion take the spotlight after the miniature this expansion includes shipspilots horton alm  dutch vander  gray squadron pilot  and a gold squadron pilot  astromech cards  r astromech and  rd missile cards  proton torpedoes turret card ion cannon turret reference card ion tokenywing has lower attack and agility than an xwing by one in both accounts it maneuvers like an xwing but takes stress on hard turns at speed  and straight at speed  and turns at speed  are white maneuvers instead however this space tank has superior hulls  and better shields  than the xwingoverall this is good model for star wars collectors but a fighter hard to master for xwing players|spam
A1PJKGNMUEGEWO|the tie advance expansion pack is an expansion for the xwing miniature game which happens to include great model the sculpt and paint of this miniature are impressive  if you want darth vader you want this onethis miniature is about  long x  wide also it is at scale with other miniatures in the xwing miniature game such as the xwing and tie fightersin addition to the tie advance this expansion includes a stand and a base for the miniature two ship tokens for the base one maneuver dial and a rulesheet of course there are plenty of other tokens as those included for the xwing miniature gamehowever the cards included in the expansion take the spotlight after the miniature this expansion includes shipspilots darth vader maarek stele storm squadron pilot and a tempest squadron pilot elite talent cards  squad leader  swarm tactics and  expert handling missile cards  concussion missiles and  cluster missilestie advance is a match to the xwing in attack agility hulls and shields it can go straight at speed  but not at speed   in addition it has the barrel roll and evade actionsoverall this is great model for star wars fans|spam
